n,N,R,qc0-mean,qc0-var,qcf-mean,qcf-var,m-mean,m-var,cc-mean,cc-var,all-mean,all-var
2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+02,8.007357142857154594e-03,1.965965816326756152e-08,1.661321428571430753e-02,1.393631122448363437e-08,1.248183673469419920e-03,8.561703456914303871e-10,1.382857142857121021e-04,8.166693877553070675e-09,2.600704081632659523e-02,4.023054935445442633e-08
3.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+02,8.082795918367389337e-03,3.055483590167878979e-08,3.088297959183671990e-02,3.995716284880634018e-08,1.300622448979558369e-03,2.025411286959950514e-10,2.367653061225087445e-04,1.007495512287238085e-08,4.050316326530617461e-02,1.077856059974719474e-07
4.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+02,8.439948979591882505e-03,2.613180351938057762e-08,6.105445918367340130e-02,4.840088615680708218e-06,1.433020408163258527e-03,1.222203665139795869e-09,3.207551020408431022e-04,1.001451145355006029e-08,7.124818367346938408e-02,5.382138068305225911e-06
5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+02,9.341704081632677334e-03,6.394800187398510047e-09,1.202448979591837358e-01,2.157666091627447734e-06,1.651306122449068851e-03,4.147022074131272024e-10,3.702653061226533152e-04,9.088439816724946410e-09,1.316081734693881344e-01,2.366396531130947194e-06
6.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+02,1.339704081632655391e-02,7.030870391500184127e-07,2.524468571428569175e-01,5.784987300000158159e-05,2.305571428570997883e-03,1.549530612251975800e-09,4.610204081632494292e-04,2.723057101197287657e-08,2.686104897959177285e-01,6.670190078052129696e-05
7.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+02,2.996384693877490041e-02,1.495926917045479046e-05,5.929353469387759201e-01,3.097687071245412466e-04,4.455734693877388963e-03,2.529924194090550580e-07,5.502448979592049032e-04,1.289722573908062327e-08,6.279051734693874565e-01,3.391883629801526411e-04
8.000000000000000000e+00,1.600000000000000000e+01,1.000000000000000000e+02,9.644216326530373473e-02,2.204703150396317940e-05,1.836705173469385777e+00,8.015572048939257482e-03,1.495184693877758646e-02,2.298981296327080449e-07,6.604285714274447635e-04,8.276591836547038946e-09,1.948759612244894468e+00,8.118504164155861125e-03
9.000000000000000000e+00,1.800000000000000000e+01,3.300000000000000000e+01,3.750100000000132772e-01,1.556367780638928948e-05,8.694745935483865651e+00,4.086297017706363444e-01,7.329487096775035015e-02,1.235506176910230316e-06,7.950645161350445916e-04,8.798834549030110162e-09,9.143845870967764355e+00,4.085388946397209287e-01
1.000000000000000000e+01,2.000000000000000000e+01,6.000000000000000000e+00,1.569329750000008517e+00,3.392397771879309505e-04,5.605076399999998671e+01,2.867953292576621749e+01,5.013225000000431919e-01,5.953090722491673984e-04,1.015999999992800440e-03,6.944999989942225428e-10,5.812243225000003122e+01,2.889116767010591147e+01
