n,N,log2_H,log2_U,log2_qstate,log2_all_qcf,log2_approx_qcf
2.000000000000000000e+00,4.000000000000000000e+00,7.209453365628950117e+00,7.614709844115208348e+00,6.643856189774724363e+00,8.794415866350105304e+00,8.700439718141092627e+00
3.000000000000000000e+00,6.000000000000000000e+00,9.098032082960527234e+00,9.592457037268079745e+00,8.599912842187126927e+00,1.073809225962049041e+01,1.070043971814109263e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.104712391211402611e+01,1.158683978796182679e+01,1.058871463558226367e+01,1.271681946132994945e+01,1.270043971814109263e+01
5.000000000000000000e+00,1.000000000000000000e+01,1.302306124973533485e+01,1.358543205159296186e+01,1.258590144969077151e+01,1.470800612889607173e+01,1.470043971814109263e+01
6.000000000000000000e+00,1.200000000000000000e+01,1.501140198988006347e+01,1.558507990276710942e+01,1.458519729526002351e+01,1.670406573778371850e+01,1.670043971814109085e+01
7.000000000000000000e+00,1.400000000000000000e+01,1.700566840477246444e+01,1.758499185212832572e+01,1.658502120293836057e+01,1.870221327682934387e+01,1.870043971814109085e+01
8.000000000000000000e+00,1.600000000000000000e+01,1.900282600099896158e+01,1.958496983862893259e+01,1.858497717649938608e+01,2.070131661602649942e+01,2.070043971814109085e+01
9.000000000000000000e+00,1.800000000000000000e+01,2.100141094342799519e+01,2.158496433520159741e+01,2.058496616967970994e+01,2.270087569442647890e+01,2.270043971814109085e+01
1.000000000000000000e+01,2.000000000000000000e+01,2.300070495660594716e+01,2.358496295934148534e+01,2.258496341796167073e+01,2.470065708783550207e+01,2.470043971814109085e+01
