Simulation of Simon quantum algorithm.
bits = 2, simulations = 200
N	steps	time	time/steps
53	2	0.052	0.026
54	6	0.054	0.009
55	3	0.052	0.017
56	4	0.052	0.013
57	2	0.051	0.026
58	2	0.051	0.025
59	3	0.051	0.017
60	2	0.051	0.025
61	3	0.052	0.017
62	4	0.052	0.013
63	3	0.052	0.017
64	7	0.053	0.008
65	2	0.051	0.025
66	2	0.052	0.026
67	2	0.051	0.025
68	6	0.053	0.009
69	3	0.052	0.017
70	3	0.052	0.017
71	5	0.052	0.010
72	3	0.052	0.017
73	6	0.053	0.009
74	7	0.054	0.008
75	4	0.052	0.013
76	3	0.051	0.017
77	3	0.051	0.017
78	7	0.054	0.008
79	4	0.053	0.013
80	2	0.051	0.026
81	2	0.051	0.026
82	6	0.053	0.009
83	3	0.051	0.017
84	2	0.051	0.026
85	4	0.052	0.013
86	3	0.051	0.017
87	2	0.051	0.026
88	3	0.052	0.017
89	2	0.051	0.026
90	2	0.051	0.026
91	3	0.052	0.017
92	3	0.051	0.017
93	3	0.052	0.017
94	3	0.052	0.017
95	3	0.051	0.017
96	2	0.051	0.026
97	3	0.051	0.017
98	3	0.052	0.017
99	3	0.052	0.017
100	2	0.051	0.026
101	3	0.052	0.017
102	3	0.052	0.017
103	2	0.051	0.025
104	5	0.053	0.011
105	3	0.052	0.017
106	3	0.051	0.017
107	2	0.052	0.026
108	4	0.052	0.013
109	10	0.055	0.006
110	4	0.052	0.013
111	2	0.051	0.025
112	2	0.051	0.026
113	2	0.051	0.026
114	3	0.052	0.017
115	2	0.051	0.025
116	3	0.052	0.017
117	3	0.052	0.017
118	2	0.051	0.026
119	4	0.053	0.013
120	2	0.051	0.026
121	5	0.053	0.011
122	2	0.051	0.026
123	2	0.051	0.026
124	3	0.052	0.017
125	4	0.053	0.013
126	3	0.053	0.018
127	4	0.053	0.013
128	2	0.053	0.026
129	2	0.053	0.026
130	2	0.052	0.026
131	3	0.053	0.018
132	3	0.053	0.018
133	7	0.055	0.008
134	4	0.053	0.013
135	4	0.053	0.013
136	2	0.052	0.026
137	2	0.054	0.027
138	3	0.054	0.018
139	2	0.055	0.027
140	4	0.056	0.014
141	3	0.055	0.018
142	2	0.053	0.026
143	2	0.052	0.026
144	2	0.054	0.027
145	3	0.056	0.019
146	3	0.054	0.018
147	2	0.054	0.027
148	4	0.053	0.013
149	2	0.052	0.026
150	2	0.053	0.026
151	5	0.053	0.011
152	2	0.053	0.026
153	8	0.056	0.007
154	4	0.054	0.014
155	2	0.053	0.026
156	3	0.053	0.018
157	3	0.052	0.017
158	4	0.054	0.013
159	4	0.054	0.013
160	2	0.053	0.027
161	2	0.053	0.026
162	2	0.054	0.027
163	6	0.057	0.010
164	3	0.053	0.018
165	3	0.053	0.018
166	2	0.053	0.026
167	5	0.055	0.011
168	5	0.053	0.011
169	2	0.052	0.026
170	2	0.053	0.026
171	3	0.054	0.018
172	4	0.054	0.014
173	2	0.052	0.026
174	2	0.052	0.026
175	2	0.053	0.026
176	3	0.053	0.018
177	2	0.052	0.026
178	3	0.053	0.018
179	3	0.053	0.018
180	3	0.054	0.018
181	2	0.052	0.026
182	3	0.056	0.019
183	3	0.053	0.018
184	2	0.054	0.027
185	3	0.054	0.018
186	2	0.054	0.027
187	4	0.057	0.014
188	3	0.056	0.019
189	2	0.055	0.028
190	4	0.054	0.013
191	5	0.056	0.011
192	3	0.054	0.018
193	2	0.053	0.027
194	3	0.054	0.018
195	2	0.053	0.027
196	3	0.053	0.018
197	3	0.055	0.018
198	8	0.058	0.007
199	3	0.057	0.019
Analysis of simulated data.
Mean steps = 3.265
Var steps = 2.3447750000000003
Mean time/step = 0.018657426928030275
Var time/step = 3.73433358884057e-05
Simulation of Simon quantum algorithm.
bits = 4, simulations = 200
N	steps	time	time/steps
0	3	0.069	0.023
1	4	0.069	0.017
2	4	0.068	0.017
3	4	0.068	0.017
4	5	0.069	0.014
5	5	0.068	0.014
6	3	0.065	0.022
7	8	0.076	0.009
8	4	0.067	0.017
9	6	0.072	0.012
10	5	0.071	0.014
11	4	0.066	0.016
12	5	0.069	0.014
13	4	0.067	0.017
14	3	0.066	0.022
15	3	0.065	0.022
16	4	0.067	0.017
17	4	0.066	0.017
18	3	0.065	0.022
19	4	0.066	0.017
20	5	0.069	0.014
21	4	0.067	0.017
22	3	0.069	0.023
23	6	0.071	0.012
24	3	0.065	0.022
25	3	0.065	0.022
26	6	0.070	0.012
27	3	0.065	0.022
28	6	0.073	0.012
29	4	0.067	0.017
30	4	0.067	0.017
31	3	0.065	0.022
32	9	0.078	0.009
33	5	0.068	0.014
34	3	0.065	0.022
35	4	0.068	0.017
36	5	0.069	0.014
37	3	0.066	0.022
38	5	0.074	0.015
39	3	0.069	0.023
40	5	0.069	0.014
41	7	0.074	0.011
42	4	0.066	0.017
43	4	0.066	0.017
44	5	0.069	0.014
45	5	0.069	0.014
46	4	0.068	0.017
47	5	0.068	0.014
48	5	0.069	0.014
49	6	0.070	0.012
50	3	0.065	0.022
51	5	0.068	0.014
52	4	0.067	0.017
53	4	0.066	0.017
54	3	0.066	0.022
55	5	0.069	0.014
56	4	0.068	0.017
57	4	0.067	0.017
58	6	0.071	0.012
59	5	0.068	0.014
60	4	0.066	0.017
61	6	0.071	0.012
62	3	0.065	0.022
63	9	0.074	0.008
64	4	0.066	0.016
65	3	0.066	0.022
66	4	0.067	0.017
67	4	0.066	0.017
68	5	0.070	0.014
69	9	0.079	0.009
70	7	0.073	0.010
71	3	0.065	0.022
72	4	0.067	0.017
73	3	0.065	0.022
74	4	0.067	0.017
75	3	0.065	0.022
76	3	0.065	0.022
77	4	0.066	0.017
78	6	0.070	0.012
79	3	0.065	0.022
80	3	0.065	0.022
81	3	0.065	0.022
82	5	0.068	0.014
83	3	0.066	0.022
84	3	0.065	0.022
85	3	0.065	0.022
86	3	0.065	0.022
87	3	0.065	0.022
88	4	0.066	0.017
89	3	0.066	0.022
90	4	0.066	0.017
91	3	0.065	0.022
92	3	0.066	0.022
93	5	0.070	0.014
94	5	0.068	0.014
95	5	0.071	0.014
96	6	0.076	0.013
97	4	0.069	0.017
98	4	0.066	0.017
99	6	0.070	0.012
100	4	0.068	0.017
101	5	0.069	0.014
102	3	0.065	0.022
103	3	0.065	0.022
104	5	0.069	0.014
105	6	0.072	0.012
106	9	0.076	0.008
107	3	0.065	0.022
108	3	0.065	0.022
109	8	0.072	0.009
110	3	0.066	0.022
111	3	0.067	0.022
112	3	0.065	0.022
113	4	0.067	0.017
114	5	0.069	0.014
115	3	0.065	0.022
116	5	0.069	0.014
117	5	0.070	0.014
118	4	0.068	0.017
119	3	0.065	0.022
120	3	0.066	0.022
121	6	0.070	0.012
122	3	0.067	0.022
123	4	0.067	0.017
124	5	0.068	0.014
125	4	0.068	0.017
126	4	0.067	0.017
127	4	0.067	0.017
128	4	0.067	0.017
129	3	0.068	0.023
130	3	0.065	0.022
131	4	0.067	0.017
132	3	0.065	0.022
133	5	0.067	0.013
134	3	0.065	0.022
135	4	0.066	0.016
136	6	0.070	0.012
137	6	0.072	0.012
138	6	0.070	0.012
139	4	0.067	0.017
140	6	0.071	0.012
141	5	0.068	0.014
142	7	0.072	0.010
143	11	0.082	0.007
144	8	0.075	0.009
145	5	0.068	0.014
146	4	0.068	0.017
147	4	0.066	0.016
148	3	0.065	0.022
149	4	0.067	0.017
150	4	0.067	0.017
151	6	0.072	0.012
152	6	0.070	0.012
153	6	0.070	0.012
154	5	0.069	0.014
155	7	0.069	0.010
156	3	0.065	0.022
157	4	0.066	0.016
158	4	0.067	0.017
159	6	0.071	0.012
160	8	0.076	0.009
161	3	0.065	0.022
162	3	0.065	0.022
163	3	0.065	0.022
164	3	0.065	0.022
165	6	0.071	0.012
166	3	0.065	0.022
167	5	0.070	0.014
168	4	0.066	0.017
169	6	0.072	0.012
170	4	0.070	0.018
171	6	0.072	0.012
172	5	0.074	0.015
173	3	0.065	0.022
174	4	0.068	0.017
175	7	0.071	0.010
176	4	0.068	0.017
177	5	0.068	0.014
178	6	0.070	0.012
179	3	0.065	0.022
180	5	0.070	0.014
181	4	0.067	0.017
182	4	0.067	0.017
183	4	0.068	0.017
184	4	0.067	0.017
185	3	0.065	0.022
186	5	0.068	0.014
187	4	0.068	0.017
188	7	0.073	0.010
189	3	0.065	0.022
190	3	0.066	0.022
191	7	0.072	0.010
192	5	0.068	0.014
193	6	0.070	0.012
194	5	0.068	0.014
195	5	0.070	0.014
196	5	0.069	0.014
197	5	0.069	0.014
198	5	0.069	0.014
199	5	0.068	0.014
Analysis of simulated data.
Mean steps = 4.49
Var steps = 2.1499000000000006
Mean time/step = 0.016434441487554085
Var time/step = 1.692544760423822e-05
Simulation of Simon quantum algorithm.
bits = 5, simulations = 200
N	steps	time	time/steps
0	5	0.113	0.023
1	6	0.114	0.019
2	7	0.121	0.017
3	4	0.108	0.027
4	4	0.108	0.027
5	4	0.108	0.027
6	5	0.113	0.023
7	4	0.108	0.027
8	5	0.111	0.022
9	6	0.111	0.018
10	5	0.112	0.022
11	4	0.108	0.027
12	4	0.110	0.028
13	8	0.130	0.016
14	6	0.119	0.020
15	4	0.109	0.027
16	5	0.113	0.023
17	11	0.153	0.014
18	5	0.111	0.022
19	4	0.107	0.027
20	6	0.117	0.020
21	9	0.126	0.014
22	5	0.114	0.023
23	4	0.107	0.027
24	5	0.113	0.023
25	6	0.119	0.020
26	7	0.127	0.018
27	4	0.107	0.027
28	4	0.108	0.027
29	6	0.118	0.020
30	4	0.108	0.027
31	5	0.111	0.022
32	5	0.110	0.022
33	4	0.107	0.027
34	6	0.112	0.019
35	8	0.125	0.016
36	5	0.112	0.022
37	5	0.113	0.023
38	5	0.113	0.023
39	4	0.108	0.027
40	6	0.118	0.020
41	4	0.107	0.027
42	5	0.113	0.023
43	10	0.128	0.013
44	4	0.108	0.027
45	6	0.116	0.019
46	4	0.108	0.027
47	4	0.107	0.027
48	11	0.146	0.013
49	6	0.118	0.020
50	4	0.107	0.027
51	5	0.113	0.023
52	5	0.113	0.023
53	5	0.113	0.023
54	5	0.109	0.022
55	5	0.113	0.023
56	4	0.107	0.027
57	7	0.121	0.017
58	6	0.115	0.019
59	4	0.107	0.027
60	5	0.113	0.023
61	5	0.113	0.023
