rodrigo@hal ~/qc/python % python simon.py 
848/1000 N = 3.315665488810365
849/1000 N = 3.3188235294117647
850/1000 N = 3.319623971797885
851/1000 N = 3.3204225352112675
852/1000 N = 3.321219226260258
853/1000 N = 3.319672131147541
854/1000 N = 3.32046783625731
855/1000 N = 3.31892523364486
856/1000 N = 3.320886814469078
857/1000 N = 3.3193473193473193
858/1000 N = 3.317811408614668
859/1000 N = 3.317441860465116
860/1000 N = 3.3228803716608595
861/1000 N = 3.3225058004640373
862/1000 N = 3.320973348783314
863/1000 N = 3.3194444444444446
864/1000 N = 3.3190751445086706
865/1000 N = 3.3290993071593533
866/1000 N = 3.3275663206459054
867/1000 N = 3.326036866359447
868/1000 N = 3.3256616800920598
869/1000 N = 3.3264367816091953
870/1000 N = 3.324913892078071
871/1000 N = 3.32454128440367
872/1000 N = 3.325315005727377
873/1000 N = 3.324942791762014
874/1000 N = 3.330285714285714
875/1000 N = 3.3299086757990866
876/1000 N = 3.3295324971493727
877/1000 N = 3.3314350797266514
878/1000 N = 3.3299203640500568
879/1000 N = 3.3295454545454546
880/1000 N = 3.329171396140749
881/1000 N = 3.328798185941043
882/1000 N = 3.3284258210645525
883/1000 N = 3.326923076923077
884/1000 N = 3.326553672316384
885/1000 N = 3.325056433408578
886/1000 N = 3.3280721533258175
887/1000 N = 3.3265765765765765
888/1000 N = 3.325084364454443
889/1000 N = 3.3247191011235957
890/1000 N = 3.3265993265993266
891/1000 N = 3.3262331838565022
892/1000 N = 3.325867861142217
893/1000 N = 3.3277404921700224
894/1000 N = 3.3307262569832403
895/1000 N = 3.3314732142857144
896/1000 N = 3.331103678929766
897/1000 N = 3.329621380846325
898/1000 N = 3.3281423804226917
899/1000 N = 3.327777777777778
900/1000 N = 3.32630410654828
901/1000 N = 3.3259423503325944
902/1000 N = 3.3255813953488373
903/1000 N = 3.327433628318584
904/1000 N = 3.32707182320442
905/1000 N = 3.3300220750551874
906/1000 N = 3.3296582138919515
907/1000 N = 3.329295154185022
908/1000 N = 3.3289328932893287
909/1000 N = 3.32967032967033
910/1000 N = 3.3282107574094404
911/1000 N = 3.3289473684210527
912/1000 N = 3.3285870755750273
913/1000 N = 3.3271334792122538
914/1000 N = 3.3278688524590163
915/1000 N = 3.328602620087336
916/1000 N = 3.3293347873500547
917/1000 N = 3.3300653594771243
918/1000 N = 3.3286180631120783
919/1000 N = 3.3282608695652174
920/1000 N = 3.3268186753528775
921/1000 N = 3.32646420824295
922/1000 N = 3.3282773564463706
923/1000 N = 3.329004329004329
924/1000 N = 3.330810810810811
925/1000 N = 3.3293736501079914
926/1000 N = 3.335490830636462
927/1000 N = 3.334051724137931
928/1000 N = 3.3358449946178688
929/1000 N = 3.336559139784946
930/1000 N = 3.335123523093448
931/1000 N = 3.334763948497854
932/1000 N = 3.3333333333333335
933/1000 N = 3.335117773019272
934/1000 N = 3.3347593582887702
935/1000 N = 3.3354700854700856
936/1000 N = 3.336179295624333
937/1000 N = 3.3368869936034113
938/1000 N = 3.336528221512247
939/1000 N = 3.3361702127659574
940/1000 N = 3.336875664187035
941/1000 N = 3.3365180467091293
942/1000 N = 3.335100742311771
943/1000 N = 3.3347457627118646
944/1000 N = 3.3365079365079366
945/1000 N = 3.3350951374207187
946/1000 N = 3.3357972544878565
947/1000 N = 3.3343881856540083
948/1000 N = 3.3340358271865123
949/1000 N = 3.3357894736842106
950/1000 N = 3.334384858044164
951/1000 N = 3.3350840336134455
952/1000 N = 3.333683105981112
953/1000 N = 3.3322851153039834
954/1000 N = 3.330890052356021
955/1000 N = 3.329497907949791
956/1000 N = 3.3301985370950886
957/1000 N = 3.3288100208768268
958/1000 N = 3.329509906152242
959/1000 N = 3.328125
960/1000 N = 3.326742976066597
961/1000 N = 3.3274428274428276
962/1000 N = 3.3260643821391485
963/1000 N = 3.327800829875519
964/1000 N = 3.327461139896373
965/1000 N = 3.3281573498964803
966/1000 N = 3.326783867631851
967/1000 N = 3.3264462809917354
968/1000 N = 3.329205366357069
969/1000 N = 3.327835051546392
970/1000 N = 3.329557157569516
971/1000 N = 3.331275720164609
972/1000 N = 3.3309352517985613
973/1000 N = 3.3295687885010268
974/1000 N = 3.329230769230769
975/1000 N = 3.3278688524590163
976/1000 N = 3.3265097236438077
977/1000 N = 3.3282208588957056
978/1000 N = 3.3289070480081717
979/1000 N = 3.3275510204081633
980/1000 N = 3.3312945973496433
981/1000 N = 3.329938900203666
982/1000 N = 3.3326551373346898
983/1000 N = 3.332317073170732
984/1000 N = 3.330964467005076
985/1000 N = 3.3316430020283976
986/1000 N = 3.330293819655522
987/1000 N = 3.3299595141700404
988/1000 N = 3.3286147623862488
989/1000 N = 3.3292929292929294
990/1000 N = 3.3279515640766903
991/1000 N = 3.3266129032258065
992/1000 N = 3.326283987915408
993/1000 N = 3.3259557344064388
994/1000 N = 3.3246231155778894
995/1000 N = 3.323293172690763
996/1000 N = 3.321965897693079
997/1000 N = 3.3226452905811623
998/1000 N = 3.3213213213213213
999/1000 N = 3.321
python simon.py  1268,25s user 8,46s system 97% cpu 21:47,59 total
